Counter Presentation Path,Proposed Alias Naming
[ALU].[ALU CS 3G CELL Hourly].[Inter-RAT HO Success Rate_Numerator],Inter-RAT HO Success 
[ALU].[ALU CS 3G CELL Hourly].[Soft HO Success Rate_Numerator],Soft HO Success 
[ALU].[ALU CS 3G CELL Hourly].[Soft HO Success Rate_Denominator],Soft HO Attempt
[ALU].[ALU PS 3G CELL Hourly].[Drop Rate HS Data Num],
[ALU].[ALU PS 3G CELL Hourly].[Drop Rate HS Data Den],
[ALU].[ALU PS 3G CELL Hourly].[PS Call Drop Rate_Denominator],PS Call Attempt
[ALU].[ALU PS 3G CELL Hourly].[PS Call Drop Rate_Numerator],PS Call Drop 
[ALU].[ALU PS 3G CELL Hourly].[PS RAB Success Rate_Denominator],PS RAB Attempt
[ALU].[ALU PS 3G CELL Hourly].[PS RAB Success Rate_Numerator],PS RAB Success 
[ALU].[ALU PS 3G CELL Hourly].[PS RRC Success Rate_Numerator],PS RRC Success 
[ALU].[ALU PS 3G CELL Hourly].[PS RRC Success Rate_Denominator],PS RRC Attempt
[ALU].[ALU PS 3G CELL Hourly].[Inter-RAT HO PS UTRAN Success Rate Num],
[ALU].[ALU PS 3G CELL Hourly].[Inter-RAT HO PS UTRAN Success Rate Den],
[ALU].[ALU PS 4G EUTRANCELL Hourly].[CSSR (Call Setup Success Rate)_Numerator2],CSSR (Call Setup Success 
[ALU].[ALU PS 4G EUTRANCELL Hourly].[CSSR (Call Setup Success Rate)_Denominator1],CSSR (Call Setup Attempt
[ALU].[ALU PS 4G EUTRANCELL Hourly].[CSSR (Call Setup Success Rate)_Numerator1],CSSR (Call Setup Success 
[ALU].[ALU PS 4G EUTRANCELL Hourly].[CSSR (Call Setup Success Rate)_Denominator2],CSSR (Call Setup Attempt
[ALU].[ALU PS 4G EUTRANCELL Hourly].[ERAB Drop Rate_Numerator],ERAB Drop 
